"No.","Time","Source","Destination","Protocol","Length","Info"
"16741","204.592375","51.11.168.232","192.168.234.129","TLSv1.2","174","Change Cipher Spec, Encrypted Handshake Message, Application Data"
"16742","204.593198","192.168.234.129","51.11.168.232","TLSv1.2","141","Application Data"
"16743","204.593334","192.168.234.129","51.11.168.232","TLSv1.2","249","Application Data"
"16746","204.593712","192.168.234.129","51.11.168.232","TLSv1.2","92","Application Data"
"16750","204.599292","20.189.173.5","192.168.234.129","TLSv1.2","1369","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"16752","204.602848","192.168.234.129","20.189.173.5","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"16754","204.668144","20.189.173.5","192.168.234.129","TLSv1.2","174","Change Cipher Spec, Encrypted Handshake Message, Application Data"
"16755","204.669174","192.168.234.129","20.189.173.5","TLSv1.2","141","Application Data"
"16756","204.669297","192.168.234.129","20.189.173.5","TLSv1.2","961","Application Data"
"16759","204.669575","192.168.234.129","20.189.173.5","TLSv1.2","92","Application Data"
"16760","204.669645","192.168.234.129","20.189.173.5","TLSv1.2","3369","Application Data"
"16765","204.719583","51.11.168.232","192.168.234.129","TLSv1.2","92","Application Data"
"16766","204.743184","20.189.173.5","192.168.234.129","TLSv1.2","92","Application Data"
"16769","204.844222","51.11.168.232","192.168.234.129","TLSv1.2","409","Application Data"
"16772","204.855308","20.189.173.5","192.168.234.129","TLSv1.2","340","Application Data"
"16776","204.919384","20.189.173.5","192.168.234.129","TLSv1.2","96","Application Data"
"16779","204.971496","51.11.168.232","192.168.234.129","TLSv1.2","96","Application Data"
"16783","205.086233","192.168.234.129","51.11.168.232","TLSv1.2","268","Client Hello (SNI=settings-win.data.microsoft.com)"
"16787","205.218459","51.11.168.232","192.168.234.129","TLSv1.2","892","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"16789","205.220793","192.168.234.129","51.11.168.232","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"16791","205.358799","51.11.168.232","192.168.234.129","TLSv1.2","174","Change Cipher Spec, Encrypted Handshake Message, Application Data"
"16792","205.360382","192.168.234.129","51.11.168.232","TLSv1.2","141","Application Data"
"16793","205.360460","192.168.234.129","51.11.168.232","TLSv1.2","686","Application Data"
"16794","205.360550","192.168.234.129","51.11.168.232","TLSv1.2","92","Application Data"
"16799","205.487381","51.11.168.232","192.168.234.129","TLSv1.2","92","Application Data"
"16804","205.528351","192.168.234.129","13.107.246.38","TLSv1.3","514","Client Hello (SNI=g.live.com)"
"16807","205.558466","13.107.246.38","192.168.234.129","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data"
"16811","205.558466","13.107.246.38","192.168.234.129","TLSv1.3","1514","Application Data, Application Data"
"16812","205.558466","13.107.246.38","192.168.234.129","TLSv1.3","124","Application Data"
"16814","205.565353","192.168.234.129","13.107.246.38","TLSv1.3","134","Change Cipher Spec, Application Data"
"16816","205.578972","192.168.234.129","13.107.246.38","TLSv1.3","134","Application Data"
"16817","205.579052","192.168.234.129","13.107.246.38","TLSv1.3","150","Application Data"
"16820","205.590318","13.107.246.38","192.168.234.129","TLSv1.3","690","Application Data, Application Data, Application Data"
"16821","205.591201","192.168.234.129","13.107.246.38","TLSv1.3","85","Application Data"
